Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55378874,A Runner’s High: My Life in Motion,Dean Karnazes,"Karnazes, Dean",,"=""0062955551""","=""9780062955555""",0,4.05,HarperOne,Kindle Edition,256,2021,2021,,2022/11/28,,,read,,,,1,0
39101777,Surrounded by Idiots,Thomas Erikson,"Erikson, Thomas",,"=""125023400X""","=""9781250234001""",0,3.50,Macmillan Audio,Audiobook,11,2019,2014,,2022/11/28,,,read,,,,1,0
52392401,Becoming Nobody: The Essential Ram Dass Collection,Ram Dass,"Dass, Ram",,"=""1683646266""","=""9781683646266""",0,4.48,Sounds True,Audio CD,,2019,,,2022/11/28,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,4.29,Houghton Mifflin,Paperback,366,2002,1937,,2022/11/28,,,read,,,,1,0
10557318,Running on Empty,Marshall Ulrich,"Ulrich, Marshall",,"=""1101513853""","=""9781101513859""",0,3.76,Avery,Kindle Edition,337,2011,2011,,2022/11/28,,,read,,,,1,0
36722636,The Deep Learning Revolution (Mit Press),Terrence J. Sejnowski,"Sejnowski, Terrence J.",,"=""026203803X""","=""9780262038034""",0,3.75,The MIT Press,Hardcover,352,2018,2018,,2022/11/28,,,read,,,,1,0
25663961,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,"Greger, Michael",Gene  Stone,"=""1250066115""","=""9781250066114""",0,4.43,Flatiron Books,Hardcover,576,2015,2015,,2022/11/28,,,read,,,,1,0
26114128,"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success: A Longevity Book",Shawn Stevenson,"Stevenson, Shawn",Sara Gottfried MD,"=""1623367395""","=""9781623367398""",0,3.97,Rodale Books,Hardcover,288,2016,2014,,2022/11/28,,,read,,,,1,0
2942520,50/50: Secrets I Learned Running 50 Marathons in 50 Days -- and How You Too Can Achieve Super Endurance!,Dean Karnazes,"Karnazes, Dean",Matt Fitzgerald,"=""0446581836""","=""9780446581837""",0,3.77,Grand Central Life & Style,Hardcover,304,2008,2008,,2022/11/28,,,read,,,,1,0
30019,Isaac Asimov's Guide to Earth and Space,Isaac Asimov,"Asimov, Isaac",,"=""0449220591""","=""9780449220597""",0,4.21,Fawcett,Mass Market Paperback,288,1993,1988,,2022/11/28,,,read,,,,1,0
18505802,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation",Blake J. Harris,"Harris, Blake J.",,"=""0062276697""","=""9780062276698""",0,3.97,It Books,Hardcover,576,2014,2014,,2022/11/28,,,read,,,,1,0
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,"Pearl, Judea",Dana Mackenzie,"=""046509760X""","=""9780465097609""",0,3.95,Basic Books,Hardcover,432,2018,2018,,2022/11/28,,,read,,,,1,0
38398157,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,"Hoffman, Reid","Chris Yeh, Bill Gates","=""1524761419""","=""9781524761417""",0,3.96,Crown Currency,Hardcover,336,2018,2018,,2022/11/28,,,read,,,,1,0
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",0,4.08,Crown Currency,Hardcover,287,2018,2018,,2022/11/28,,,read,,,,1,0
13151427,Running with the Mind of Meditation: Lessons for Training Body and Mind,Sakyong Mipham,"Mipham, Sakyong",,"=""0307888169""","=""9780307888167""",0,3.85,Harmony,Hardcover,208,2012,2012,,2022/11/28,,,read,,,,1,0
53479927,The Practice: Shipping Creative Work,Seth Godin,"Godin, Seth",,"=""0593328973""","=""9780593328972""",0,3.97,Portfolio,Hardcover,272,2020,2020,,2022/11/28,,,read,,,,1,0
